artist_name,track_id,track_name,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,popularity
SHT GHST,4WayGI1A4MWBb0dI7MVUUK,So What,0.155,0.38,244716,0.622,0.00996,6,0.292,-6.936,0,0.0353,115.37200000000001,4,0.105,4
Bull Market,3WndntaTrvMxaWSWkWl2Kd,Grenada Homes,0.752,0.187,183044,0.972,0.8009999999999999,5,0.195,-7.932,1,0.159,146.923,4,0.111,0
Los Alegres De Teran,3jGeH3LWjAyLIgWAkhFWhv,camino de guanajuato,0.846,0.484,186320,0.278,3.76e-06,4,0.355,-9.383,1,0.0902,188.553,3,0.76,11
Lee Aram,35L4lqHZI0mJhL3jteE0QQ,Moving,0.78,0.555,185596,0.353,0.0,2,0.371,-5.946000000000001,1,0.0451,179.99,3,0.738,29
Jordan Johnson,3looH49WVF7a8tUJS43Dat,Afterglow,0.608,0.562,254000,0.39799999999999996,0.00148,1,0.0995,-14.448,0,0.0335,96.929,4,0.132,26
Sam Stound,3Jwc47QxABojryAFhI4gNn,Silence,0.278,0.6970000000000001,225356,0.529,0.58,1,0.521,-10.555,1,0.0541,127.90299999999999,4,0.0882,0
FKJ,32yvXXV8bFNtk92X5TyBUG,Tui,0.389,0.6,110446,0.42700000000000005,0.894,5,0.0836,-10.311,0,0.0355,130.556,5,0.135,24
Theoz,3jFPrXOE4zlSGm2N62stMT,Lately,0.0030600000000000002,0.7,204740,0.785,0.0,1,0.11199999999999999,-4.59,1,0.0735,96.92399999999999,4,0.5770000000000001,43
FRVR FREE,1ij7JK7QAG70wjzYr29OLx,Forever Free,0.00647,0.561,212000,0.846,0.000169,0,0.12,-4.747,1,0.0383,127.977,4,0.34700000000000003,17
Loc-Dog,2ZssIHSTQR9SNm4meLukDI,До солнца,0.46399999999999997,0.631,235765,0.531,0.0,0,0.145,-6.784,0,0.131,84.86399999999999,4,0.256,28
Jamie Dupuis,5UfBl4aWgfLqZaeikcU26t,Nothing Else Matters,0.988,0.324,393914,0.182,0.92,4,0.0998,-19.017,0,0.0389,146.905,3,0.12300000000000001,21
5NAPBACK,5y2UxkquIb89gmPUynTrLt,Do You Better,0.139,0.769,174827,0.669,0.00021400000000000002,0,0.235,-7.329,1,0.0576,117.94,4,0.556,17
Armin van Buuren,37Ph6K7yrjpwHJCBrEFb18,"A State Of Trance (ASOT 853) - Track Recap, Pt. 1",0.183,0.52,34652,0.632,0.0,11,0.65,-10.640999999999998,0,0.228,65.354,4,0.715,8
Jean Clemence,5bISkL9OjqZADgsUTZIoWR,Roots (ASOT 853) - MaRLo Edit,0.0029100000000000003,0.535,169381,0.8370000000000001,0.5579999999999999,10,0.262,-11.867,0,0.0481,136.977,4,0.498,11
Iyves,33AB7hy5LW097MFmswc7jK,Not Afraid to Fall,0.0015,0.545,208125,0.693,0.161,9,0.03,-4.763,1,0.0329,127.964,4,0.131,8
Rain for Deep Sleep,3aE38ZkAVXG5dsy0BDSXTL,Calming Sounds for Baby Sleep,0.126,0.0,159444,0.0258,0.402,2,0.922,-24.29,0,0.0,0.0,0,0.0,19
Willemijn May,239RhVwxI84pHGxw9M5oIU,Paper Planes,0.22,0.665,187634,0.57,0.0,6,0.5479999999999999,-6.657,0,0.0312,129.993,4,0.589,13
Neelix,3QnnhaPU3yN3qIOP4b5sx6,The Sun,0.0199,0.408,249239,0.871,0.867,0,0.12300000000000001,-5.272,0,0.0688,137.987,4,0.5479999999999999,45
Khali D,21nghwp8M6wL0FbD4CerPu,Back n Fourth,0.0344,0.563,174812,0.6,0.0,2,0.159,-5.43,1,0.222,73.38600000000001,4,0.0966,0
Raja Kumari,2ex0Lq2viHRytxXVz6yw0v,The Come Up,0.363,0.659,242415,0.502,0.0,8,0.21,-5.566,0,0.0274,120.03200000000001,4,0.314,19
Lord Lu C N,6LYlKeaPgIk9ekCk9mq9nW,Whisper,0.0876,0.79,328258,0.5820000000000001,0.0,3,0.10099999999999999,-5.165,1,0.33399999999999996,155.097,4,0.444,17
Beautiful Eulogy,0QDVpfz7ruizRioWcmdlv2,Weight - Instrumental,0.32,0.22,96056,0.48,0.43700000000000006,0,0.4,-9.912,1,0.0343,107.771,4,0.0466,18
Beautiful Eulogy,3mokpGxO6ERQiyghioDu6j,Messiah - Instrumental,0.478,0.531,244763,0.55,0.919,7,0.0952,-8.49,1,0.0347,165.90900000000002,4,0.0558,17
Beautiful Eulogy,1CiJvZgjvLAO7rxlaAOHJs,Omnipotent - Instrumental,0.138,0.524,207745,0.507,0.9229999999999999,8,0.15,-11.677,1,0.0685,155.91,4,0.09699999999999999,18
Beautiful Eulogy,0Xc7ZCgpia89sZjk1f71Fi,Worthy - Instrumental,0.124,0.6559999999999999,216184,0.698,0.802,0,0.12300000000000001,-8.307,1,0.0711,172.051,4,0.226,17
YesDragon,1n6UJW9ftItKV4fb52mNl7,Hit the Moon,0.19699999999999998,0.565,153000,0.47200000000000003,0.0,10,0.331,-6.724,1,0.126,118.57700000000001,4,0.7120000000000001,4
Lil Happy Lil Sad,4CtNTMDxnztOLEZXaBd0WP,Open Eyes,0.69,0.304,146857,0.34,0.331,9,0.109,-10.825,0,0.0359,104.88,4,0.0589,26
Greater Vision,6j7NINDBUYCtxf6RXhCOo7,God Doesn't Care,0.514,0.413,231640,0.33899999999999997,0.0,10,0.138,-8.152999999999999,1,0.0285,67.777,4,0.36,12
The Rumpled,385rZnpgA401MyZnEvVef3,Jig of Death,0.00011599999999999999,0.46399999999999997,149947,0.889,0.00942,7,0.18899999999999997,-5.5889999999999995,1,0.0338,160.09799999999998,4,0.871,21
Beautiful Eulogy,56DmxOJzVSIhhTaHSLxdxZ,Raise the Bridge - Instrumental,0.17800000000000002,0.574,133468,0.784,0.196,6,0.139,-8.53,0,0.402,94.787,4,0.133,18
morgan willis,6Omq98uaHgYxyVd9wZp60H,Dark Empire,0.113,0.22,298000,0.637,0.67,3,0.10300000000000001,-7.644,1,0.0467,220.137,4,0.0549,18
